Image,Method,K,Silhouette_Score
image15.jpg,HSV+XY,4,0.3849246
image15.jpg,HSV+XY,5,0.3752146
image15.jpg,RGB+Blur,2,0.94236314
image15.jpg,RGB+Blur,3,0.9228722
image15.jpg,RGB+Blur,4,0.90518904
image15.jpg,RGB+Blur,5,0.88564074
image2.jpg,RGB,2,0.6728859
image2.jpg,RGB,3,0.6880518
image2.jpg,RGB,4,0.6080209
image2.jpg,RGB,5,0.61390096
image2.jpg,HSV,2,0.50009894
image2.jpg,HSV,3,0.5417936
image2.jpg,HSV,4,0.5219598
image2.jpg,HSV,5,0.53077406
image2.jpg,RGB+XY,2,0.49084106
image2.jpg,RGB+XY,3,0.48866066
image2.jpg,RGB+XY,4,0.4879157
image2.jpg,RGB+XY,5,0.45218813
image2.jpg,HSV+XY,2,0.33746803
image2.jpg,HSV+XY,3,0.37606198
image2.jpg,HSV+XY,4,0.4210574
image2.jpg,HSV+XY,5,0.39539224
image2.jpg,RGB+Blur,2,0.6744983
image2.jpg,RGB+Blur,3,0.68268466
image2.jpg,RGB+Blur,4,0.6131596
image2.jpg,RGB+Blur,5,0.61061823
image3.jpg,RGB,2,0.5789778
image3.jpg,RGB,3,0.5746
image3.jpg,RGB,4,0.5729852
image3.jpg,RGB,5,0.5747748
image3.jpg,HSV,2,0.47490337
image3.jpg,HSV,3,0.4966242
image3.jpg,HSV,4,0.531091
image3.jpg,HSV,5,0.47192824
image3.jpg,RGB+XY,2,0.45495844
image3.jpg,RGB+XY,3,0.3574109
image3.jpg,RGB+XY,4,0.38704854
image3.jpg,RGB+XY,5,0.3720127
image3.jpg,HSV+XY,2,0.34299833
image3.jpg,HSV+XY,3,0.29292718
image3.jpg,HSV+XY,4,0.32981887
image3.jpg,HSV+XY,5,0.35279223
image3.jpg,RGB+Blur,2,0.58910316
image3.jpg,RGB+Blur,3,0.5837045
image3.jpg,RGB+Blur,4,0.58356667
image3.jpg,RGB+Blur,5,0.5787177
image4.jpg,RGB,2,0.6709082
image4.jpg,RGB,3,0.5087132
image4.jpg,RGB,4,0.52445954
image4.jpg,RGB,5,0.5161553
image4.jpg,HSV,2,0.5167347
image4.jpg,HSV,3,0.34133163
image4.jpg,HSV,4,0.40358108
image4.jpg,HSV,5,0.40165818
image4.jpg,RGB+XY,2,0.38000524
image4.jpg,RGB+XY,3,0.29205698
image4.jpg,RGB+XY,4,0.29668736
image4.jpg,RGB+XY,5,0.31816623
image4.jpg,HSV+XY,2,0.24767604
image4.jpg,HSV+XY,3,0.25850052
image4.jpg,HSV+XY,4,0.29831916
image4.jpg,HSV+XY,5,0.29085112
image4.jpg,RGB+Blur,2,0.6860139
image4.jpg,RGB+Blur,3,0.5153827
image4.jpg,RGB+Blur,4,0.5296734
image4.jpg,RGB+Blur,5,0.5108823
image5.jpg,RGB,2,0.5646877
image5.jpg,RGB,3,0.5440612
image5.jpg,RGB,4,0.5097146
image5.jpg,RGB,5,0.5165409
image5.jpg,HSV,2,0.47280577
image5.jpg,HSV,3,0.48985225
image5.jpg,HSV,4,0.47905368
image5.jpg,HSV,5,0.48991543
image5.jpg,RGB+XY,2,0.39336923
image5.jpg,RGB+XY,3,0.34399697
image5.jpg,RGB+XY,4,0.3623457
image5.jpg,RGB+XY,5,0.35416108
