Image,Feature_Type,K,Silhouette_Score
image5.jpg,rgb+xy,4,0.4961182
image5.jpg,rgb+xy,5,0.49480957
image6.jpg,rgb+xy,2,0.7392472
image6.jpg,rgb+xy,3,0.6747209
image6.jpg,rgb+xy,4,0.62149966
image6.jpg,rgb+xy,5,0.5859612
image7.jpg,rgb+xy,2,0.66463864
image7.jpg,rgb+xy,3,0.64261365
image7.jpg,rgb+xy,4,0.66022885
image7.jpg,rgb+xy,5,0.6435871
image8.jpg,rgb+xy,2,0.5935098
image8.jpg,rgb+xy,3,0.4988011
image8.jpg,rgb+xy,4,0.44290382
image8.jpg,rgb+xy,5,0.49340943
image9.jpg,rgb+xy,2,0.6075814
image9.jpg,rgb+xy,3,0.5334184
image9.jpg,rgb+xy,4,0.4859106
image9.jpg,rgb+xy,5,0.47935456
image1.jpg,hsv+xy,2,0.4741181
image1.jpg,hsv+xy,3,0.47625804
image1.jpg,hsv+xy,4,0.4446148
image1.jpg,hsv+xy,5,0.46447387
image10.jpg,hsv+xy,2,0.36955473
image10.jpg,hsv+xy,3,0.31250393
image10.jpg,hsv+xy,4,0.36261117
image10.jpg,hsv+xy,5,0.38138002
image11.jpg,hsv+xy,2,0.66644686
image11.jpg,hsv+xy,3,0.67019784
image11.jpg,hsv+xy,4,0.72860813
image11.jpg,hsv+xy,5,0.7534298
image12.png,hsv+xy,2,0.46164066
image12.png,hsv+xy,3,0.48097208
image12.png,hsv+xy,4,0.5236298
image12.png,hsv+xy,5,0.50039375
image13.jpg,hsv+xy,2,0.36632314
image13.jpg,hsv+xy,3,0.36573207
image13.jpg,hsv+xy,4,0.3791929
image13.jpg,hsv+xy,5,0.38267547
image14.jpg,hsv+xy,2,0.40456736
image14.jpg,hsv+xy,3,0.3200415
image14.jpg,hsv+xy,4,0.3521792
image14.jpg,hsv+xy,5,0.35587344
image15.jpg,hsv+xy,2,0.90429807
image15.jpg,hsv+xy,3,0.8738837
image15.jpg,hsv+xy,4,0.8633989
image15.jpg,hsv+xy,5,0.8584304
image2.jpg,hsv+xy,2,0.45501202
image2.jpg,hsv+xy,3,0.48412204
image2.jpg,hsv+xy,4,0.4861849
image2.jpg,hsv+xy,5,0.5442858
image3.jpg,hsv+xy,2,0.46301112
image3.jpg,hsv+xy,3,0.48251075
image3.jpg,hsv+xy,4,0.47377676
image3.jpg,hsv+xy,5,0.46439993
image4.jpg,hsv+xy,2,0.4991082
image4.jpg,hsv+xy,3,0.43374383
image4.jpg,hsv+xy,4,0.42750558
image4.jpg,hsv+xy,5,0.4058928
image5.jpg,hsv+xy,2,0.4913954
image5.jpg,hsv+xy,3,0.5252825
image5.jpg,hsv+xy,4,0.49792045
image5.jpg,hsv+xy,5,0.44819975
image6.jpg,hsv+xy,2,0.5916561
image6.jpg,hsv+xy,3,0.606429
image6.jpg,hsv+xy,4,0.5960103
image6.jpg,hsv+xy,5,0.5446924
image7.jpg,hsv+xy,2,0.48622143
image7.jpg,hsv+xy,3,0.58817315
image7.jpg,hsv+xy,4,0.597721
image7.jpg,hsv+xy,5,0.60422486
image8.jpg,hsv+xy,2,0.37956426
image8.jpg,hsv+xy,3,0.46090907
image8.jpg,hsv+xy,4,0.47303888
image8.jpg,hsv+xy,5,0.44413733
image9.jpg,hsv+xy,2,0.42250308
image9.jpg,hsv+xy,3,0.4836352
image9.jpg,hsv+xy,4,0.49939078
image9.jpg,hsv+xy,5,0.5043047
